text	result	texPattern	valuePattern	form
19 of January of the same year	2121-01-19	NUM:$1 of MONTH:$0 of the same year	Action:Modify* Enum:$0 Action:BasicModify Value:$1 TimeUnit:Day	POINT
19 of January of that year	2121-01-19	NUM:$1 of MONTH:$0 of that year	Action:Modify* Enum:$0 Action:BasicModify Value:$1 TimeUnit:Day	POINT
19th of January of the same year	2121-01-19	ORD:$1 of MONTH:$0 of the same year	Action:Modify* Enum:$0 Action:BasicModify Value:$1 TimeUnit:Day	POINT
19th of January of that year	2121-01-19	ORD:$1 of MONTH:$0 of that year	Action:Modify* Enum:$0 Action:BasicModify Value:$1 TimeUnit:Day	POINT
the 19 January of the same year	2121-01-19	the NUM:$1 MONTH:$0 of the same year	Action:Modify* Enum:$0 Action:BasicModify Value:$1 TimeUnit:Day	POINT
the 19 January of that year	2121-01-19	the NUM:$1 MONTH:$0 of that year	Action:Modify* Enum:$0 Action:BasicModify Value:$1 TimeUnit:Day	POINT
the 19th January of the same year	2121-01-19	the ORD:$1 MONTH:$0 of the same year	Action:Modify* Enum:$0 Action:BasicModify Value:$1 TimeUnit:Day	POINT
the 19th January of that year	2121-01-19	the ORD:$1 MONTH:$0 of that year	Action:Modify* Enum:$0 Action:BasicModify Value:$1 TimeUnit:Day	POINT
the 19 of January of the same year	2121-01-19	the NUM:$1 of MONTH:$0 of the same year	Action:Modify* Enum:$0 Action:BasicModify Value:$1 TimeUnit:Day	POINT
the 19 of January of that year	2121-01-19	the NUM:$1 of MONTH:$0 of that year	Action:Modify* Enum:$0 Action:BasicModify Value:$1 TimeUnit:Day	POINT
the 19th of January of the same year	2121-01-19	the ORD:$1 of MONTH:$0 of the same year	Action:Modify* Enum:$0 Action:BasicModify Value:$1 TimeUnit:Day	POINT
the 19th of January of that year	2121-01-19	the ORD:$1 of MONTH:$0 of that year	Action:Modify* Enum:$0 Action:BasicModify Value:$1 TimeUnit:Day	POINT
###	date_r3
Friday October 13	2121-10-13	WEEK:$2 MONTH:$0 NUM:$1	Action:Modify* Enum:$0 Action:BasicModify Value:$1 TimeUnit:Day	POINT
Friday, October 13	2121-10-13	WEEK:$2 , MONTH:$0 NUM:$1	Action:Modify* Enum:$0 Action:BasicModify Value:$1 TimeUnit:Day	POINT
Friday October 13th	2121-10-13	WEEK:$2 MONTH:$0 ORD:$1	Action:Modify* Enum:$0 Action:BasicModify Value:$1 TimeUnit:Day	POINT
Friday, October 13th	2121-10-13	WEEK:$2 , MONTH:$0 ORD:$1	Action:Modify* Enum:$0 Action:BasicModify Value:$1 TimeUnit:Day	POINT
Friday October 13 2009	2009-10-13	WEEK:$3 MONTH:$1 NUM:$2 YEAR:$0	Action:BasicModify Value:$0 TimeUnit:Year Action:Modify* Enum:$1 Action:BasicModify Value:$2 TimeUnit:Day	POINT
Friday, October 13 2009	2009-10-13	WEEK:$3 , MONTH:$1 NUM:$2 YEAR:$0	Action:BasicModify Value:$0 TimeUnit:Year Action:Modify* Enum:$1 Action:BasicModify Value:$2 TimeUnit:Day	POINT
Friday October 13th 2009	2009-10-13	WEEK:$3 MONTH:$1 ORD:$2 YEAR:$0	Action:BasicModify Value:$0 TimeUnit:Year Action:Modify* Enum:$1 Action:BasicModify Value:$2 TimeUnit:Day	POINT
Friday, October 13th 2009	2009-10-13	WEEK:$3 , MONTH:$1 ORD:$2 YEAR:$0	Action:BasicModify Value:$0 TimeUnit:Year Action:Modify* Enum:$1 Action:BasicModify Value:$2 TimeUnit:Day	POINT
Friday October 13, 2009	2009-10-13	WEEK:$3 MONTH:$1 NUM:$2 , YEAR:$0	Action:BasicModify Value:$0 TimeUnit:Year Action:Modify* Enum:$1 Action:BasicModify Value:$2 TimeUnit:Day	POINT
Friday, October 13, 2009	2009-10-13	WEEK:$3 , MONTH:$1 NUM:$2 , YEAR:$0	Action:BasicModify Value:$0 TimeUnit:Year Action:Modify* Enum:$1 Action:BasicModify Value:$2 TimeUnit:Day	POINT
Friday October 13th, 2009	2009-10-13	WEEK:$3 MONTH:$1 ORD:$2 , YEAR:$0	Action:BasicModify Value:$0 TimeUnit:Year Action:Modify* Enum:$1 Action:BasicModify Value:$2 TimeUnit:Day	POINT
Friday, October 13th, 2009	2009-10-13	WEEK:$3 , MONTH:$1 ORD:$2 , YEAR:$0	Action:BasicModify Value:$0 TimeUnit:Year Action:Modify* Enum:$1 Action:BasicModify Value:$2 TimeUnit:Day	POINT
###	date_r5
tomorrow	2121-03-04	tomorrow	Action:ToNext TimeUnit:Day	POINT
yesterday	2121-03-02	yesterday	Action:ToLast TimeUnit:Day	POINT
the day before yesterday	2121-03-01	the day before yesterday	Action:Backward Value:2 TimeUnit:Day	POINT
today	2121-03-03	today	Action:Equal TimeUnit:Day	POINT
the day after tomorrow	2121-03-05	the day after tomorrow	Action:Forward Value:2 TimeUnit:Day	POINT
now	PRESENT_REF	NOW	Action:Ref Direction:Present	REF
as soon as possible	FUTURE_REF	as soon as possible	Action:Ref Direction:Future	REF
recent	PAST_REF	PAST	Action:Ref Direction:Past	REF
at the time	PAST_REF	at the time	Action:Ref Direction:Past	REF
current	PRESENT_REF	THIS	Action:Ref Direction:Present	REF
early tomorrow	2121-03-04	PART_WORD tomorrow	Action:ToNext TimeUnit:Day	POINT
early yesterday	2121-03-02	PART_WORD yesterday	Action:ToLast TimeUnit:Day	POINT
early the day before yesterday	2121-03-01	PART_WORD the day before yesterday	Action:Backward Value:2 TimeUnit:Day	POINT
early today	2121-03-03	PART_WORD today	Action:Equal TimeUnit:Day	POINT
early the day after tomorrow	2121-03-05	PART_WORD the day after tomorrow	Action:Forward Value:2 TimeUnit:Day	POINT
early now	PRESENT_REF	PART_WORD NOW	Action:Ref Direction:Present	REF
early as soon as possible	FUTURE_REF	PART_WORD as soon as possible	Action:Ref Direction:Future	REF
early recent	PAST_REF	PART_WORD PAST	Action:Ref Direction:Past	REF
early current	PRESENT_REF	PART_WORD THIS	Action:Ref Direction:Present	REF
Monday	2121-03-03	WEEK:$0	Action:Modify* Enum:$0	POINT
early monday	2121-03-03	PART_WORD WEEK:$0	Action:Modify* Enum:$0	POINT
###	date_r6
the weekend	2121-W10-WE	the WEEK:$0	Action:Modify* Enum:$0	POINT
that weekend	2121-W10-WE	that WEEK:$0	Action:Modify* Enum:$0	POINT
###	month granularity
###	date_r7
November 2001	2001-11	MONTH:$1 YEAR:$0	Action:BasicModify Value:$0 TimeUnit:Year Action:Modify* Enum:$1	POINT
February of 1999	1999-02	MONTH:$1 of YEAR:$0	Action:BasicModify Value:$0 TimeUnit:Year Action:Modify* Enum:$1	POINT
###	date_r8
November next year	2122-11	MONTH:$1 NEXT TIME_UNIT:$0	Action:ToNext TimeUnit:$0 Action:Modify* Enum:$1	POINT
